Page Name,Tags,Child,Parent,Column,Last edited by,Problems
Complex or Multi-Step Reaction,chemistry,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/RDS-Rate%20Determining%20Step%202a3d4e6956d64d1dbf54b95eaab6bfc0.md,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Chemical%20Kinetics%20vid%2011%2053cd7ab7366d434a9d24500cdab1107a.md,"Aug 24, 2020 9:46 PM",Soutrik das,
Elementary or Single Step Reaction,chemistry,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Molecularity%2071a39fafb49849cea45265856083e9c4.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Chemical%20Kinetics%20vid%2011%2053cd7ab7366d434a9d24500cdab1107a.md","Aug 24, 2020 9:46 PM",Soutrik das,
Molecularity,chemistry,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Elementary%20or%20Single%20Step%20Reaction%201b51c9f540e4451982752ea00c75375c.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Order%20(Chemistry)%200e3bfebe8b74420ebd803c8e10b1206f.md",Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Chemical%20Kinetics%20vid%2011%2053cd7ab7366d434a9d24500cdab1107a.md,"Aug 26, 2020 9:09 AM",Sachin Sadhwani,
$\int_1^e \cfrac{\pi \cos{(\pi \ln x)}}{x}dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Integration%201312c408a8a94e6ab99b42c3b72c371c.md,"Oct 9, 2020 9:21 PM",Soutrik das,
Writing Techniques,,,,"Sep 30, 2020 9:48 PM",Soutrik das,
Types of Chemical Reactions,chemistry,,,"Aug 23, 2020 1:13 PM",Soutrik das,
Equilibrium Constant ( Decay Constant),"chemistry, physics",,,"Aug 25, 2020 1:55 PM",Soutrik das,
Order (Chemistry),chemistry,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Molecularity%2071a39fafb49849cea45265856083e9c4.md,"Aug 24, 2020 9:46 PM",Soutrik das,
Gibbs Free Energy,,,,"Aug 24, 2020 7:53 PM",Soutrik das,
"Polar Coordinates ",maths,,,"Aug 24, 2020 9:45 PM",Soutrik das,
Arrhenius equation,chemistry,,,"Aug 24, 2020 9:48 PM",Soutrik das,
Magnetic North Pole v/s Geomagnetic North Pole,physics,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Magnetism%2044758a8789a747ddb56b2e42e99d3a7f.md,"Oct 9, 2020 9:23 PM",Soutrik das,
"Normality , Molality , Molarity , Formality",chemistry,,,"Aug 25, 2020 7:21 PM",Soutrik das,
Exact Differentials,,,,"Aug 25, 2020 7:28 PM",Soutrik das,
"Two uncharged identical Capacitors A and B , each of Capacitance C, and an inductor of inductance L are arranged as shown in the adjacent figure. At t=0, the switch S1 (left) is closed while the switch S2 (right) remains open. At time t= $t_0=\sqrt{LC\pi /2}$ ,  switch $S_2$ is closed hwile $S_1$ is opened ",question,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Capacitance%20caeded92469e47e098a21d1ef36e2d0c.md,"Oct 9, 2020 9:24 PM",Soutrik das,
"Differential Equation ",maths,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/x%5E2(y-x%20frac%7Bdy%7D%7Bdx%7D)=y(%20frac%7Bdy%7D%7Bdx%7D)%5E2%20b4bfda23f40946ed84e1275236a55064.md,,"Sep 26, 2020 12:28 PM",Soutrik das,
Numerical Methods in Engineering With Python by Jaan Kiusalaas (http://z-lib.org/),book,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Books%20c09fa9d40bfa499ba9545c5017dd2010.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Python%20py%2037f8f5b26a314016a6c73e8e8340af98.md","Oct 9, 2020 9:34 PM",Soutrik das,
Limits  (LCD),maths,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Taylor%20Series%20cbefba1c98e046edb65e62571f7699b6.md,,"Aug 30, 2020 1:17 PM",Soutrik das,
Differentiation,maths,,,"Aug 30, 2020 1:17 PM",Soutrik das,
Integration,maths,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20Partial%20Fractions%2074642fd1e861448db8464aa44afce110.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20Approximation%20(%20ge%20or%20le)%20in%20Definite%20Inte%2052495e175a114a7ebf6dda4f36b92523.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20Improper%20Integral%209e99ca6a96ef42d8a73829e1c0f36f6b.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20Approximation%20(Odd%20or%20Even)%20in%20Definite%20In%209734f20c38d34d299a13e3864a2ba175.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20Leibnitz%20theorem%20for%20Explicit%20Functions%201ab06d4cdca040cdbef8570c09e1852e.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/int_1%5Ee%20cfrac%7B%20pi%20cos%7B(%20pi%20ln%20x)%7D%7D%7Bx%7Ddx%2066742ef2ac49413490e75c3aa2e8ec72.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20Integral%20as%20a%20Limit%20of%20a%20Sum%206a1d3c293a874b248f831721a974d593.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20Approximation%20in%20Definite%20Integration%20c4ad219b288b4f5fb91c794580b729fc.md",,"Oct 10, 2020 7:15 PM",Soutrik das,
"Taylor Series ",maths,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Limits%20(LCD)%201be0e0236fd64fccb79118584023eb4a.md,"Aug 30, 2020 1:18 PM",Soutrik das,
BlackBook,question book,,,"Aug 26, 2020 12:24 PM",Soutrik das,
Tags,,,,"Oct 10, 2020 7:12 PM",Soutrik das,
100 Integrals BlackpenRedPen,question book,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%202%20int_0%5E1%20frac%7B%20tan%20%5E%7B-1%7D%20x%7D%7Bx%7D%20dx%2020148cd5cf0e4c0c90fdd658cafdadf7.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%202%20int_0%5E%20frac1%7B%20sqrt%202%7D%20frac%7B%20sin%5E%7B-1%7D%20x%7Dx%20852a62b9fbc34efea44c5afbe84aeaa7.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20int%20sec%5E3%7Bx%7Ddx%208b1bd6d8fe6a417582e858b0f46ad9d2.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20int%20sin%7Bx%7D%20sec%7B%20x%7D%20tan%7Bx%7D%20dx%2014dbd9994b9d4ecea017a487b6996c21.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20int%20sin%5E3x%20cdot%20cos%5E2x%20dx%201a1f8d20a18c42ac83532205c0d7b579.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20int%20frac%7B1%7D%7Bx%5E2%20sqrt%7Bx%5E2+1%7D%7D%206f6430c410964d74a228222f329224c5.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20int%20cot%5E5%20x%20quad%20dx%20f180139dfe9a4bc9be1f1160bae37fe0.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20int%20frac%7B3%7D%7Bx%5E2+4x+29%7D%20quad%20dx%2065941b6513b046e490bb724b1a72a4bc.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20int%20left(%20x+%20frac1x%20right)%5E2%20dx%20b9b646b8e57f48409745dc669b64d83e.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20int%20x%20sin%5E2%20x%20quad%20dx%20b1f9e2fe23894302b67c7d95635ca49c.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20int%20frac%7B1%7D%7Bx%5E3+1%7D%20dx%20c1c041a3e8e74741b1f67dcfdf4c4ad5.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20int%20cos%5E2%20(2x)%20quad%20dx%209cbf2c2198e54030a32f85700fe4ebef.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20int%20frac%7B2%20sin%20x%7D%7B%20sin%20(2x)%7D%20quad%20dx%20dc2b3f76f40a45afb5dc4d9ba0cc92da.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20int%20frac%7Bx%20sin%5E%7B-1%7Dx%7D%7B%20sqrt%7B1-x%5E2%7D%7D%20029c26c837f8420aae7d470864c4c3a9.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20int%20frac%7B%20sin%20x%7D%7B%20sec%20%5E%7B2019%7D%20x%7D%20dx%200eb4ed9ff9b742f4a056d265116910ab.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20int%20frac1%7Bx+%20sqrt%20x%7D%20dx%205b744a97d0c04dc9bbe66d3c06d5e5d0.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20int%20frac1%7B%20sqrt%7Be%5Ex%7D%7D%20dx%2045a33adada2f40f4985d26cd08f606c2.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20frac%7Be%5Ex%20sqrt%7Be%5Ex-1%7D%20%7D%7Be%5Ex+3%7D%2057801bb3b19a4273b3d2138d78a764fe.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20int%20frac%7B%20cos%20x%7D%7B%20sin%5E2%20x-5%20sin%20x%20-6%7D%20dx%20fd1c62ef8ea3481290747423d83c9c4c.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20int%20cosec%5E3%20x%20sec%20x%20dx%20be29c8415e9d4228ac3cc442b017ab63.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20(Q4)%20int(%20x+e%5Ex)%5E2%20dx%20ff6e236ce0e64cc1b426b51b5d20708f.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20(Q3)%20int%20frac%7Bx%5E2+1%7D%7Bx%5E4-x%5E2+1%7D%20dx%207cc1a6d3d1c144ada5819a9e958d1d86.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20(Q2)%20int%20frac%7B%20cos%7B2x%7D%7D%7B%20sin%20x+%20cos%20x%7D%20cdo%20bf868af64cfe4d8ebaa5b315336dbdba.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Copy%20of%20(Q1%20)%20int%20tan%20%5E5x%20sec%5E3%20x%20dx%205c97ae4795754c64bd789f365750ee5f.md",,"Aug 26, 2020 12:56 PM",Soutrik das,
Copy of Rotating Disk in a magnetic Field with a hanging weight reaches a fixed $\omega$,question,,,"Aug 26, 2020 12:34 PM",Soutrik das,
Copy of Tilted Mirror Problem JEE ADV 2016 p2,question,,,"Aug 26, 2020 12:33 PM",Soutrik das,
"Copy of  In a radioactive sample, $^{40} _{19}K$ nuclei either decay into stable $^{40}_{20} Ca$ nuclei with decay
constant","adv, physics, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md,"Sep 23, 2020 2:32 PM",Soutrik das,
Copy of Capillary Tube problem,"physics, question",,,"Aug 26, 2020 12:55 PM",Soutrik das,
"Copy of A current carrying wire heats a metal rod. The wire provides a constant power (P) to the
rod.",question,,,"Aug 26, 2020 12:33 PM",Soutrik das,
"Copy of A thin spherical insulating shell of radius R carries a uniformly distributed charge such that
the potential at its surface is V0",question,,,"Aug 26, 2020 12:33 PM",Soutrik das,
"Copy of Consider a spherical gaseous cloud of mass density p(r) in free space where r is the radial
distance from its center.",question,,,"Aug 26, 2020 12:33 PM",Soutrik das,
Copy of Block Climbing on a Movable wedge Problem,"physics, question",,,"Aug 26, 2020 12:55 PM",Soutrik das,
"Copy of From What Minimum Height must the Spring be dropped  ","physics, question",,,"Aug 26, 2020 12:55 PM",Soutrik das,
Copy of $\int_0^1 \left[ \frac{ 1}{x}\right] \left[ \frac{1}{1-x} \right] \left[ 1-\frac{1}{x}\right]dx$,"maths, question",,,"Aug 26, 2020 12:55 PM",Soutrik das,
"Copy of A random variable Xhas the following probability distribution:
$X: \quad 1 \quad 2 \quad 3 \quad 4 \quad 5$
$P(X): K^{2} \quad 2 K \quad K \quad 2 K \quad 5 K^{2}$
Then $P(X>2)$ is equal to :
(A) $\frac{23}{36}$
(B) $\frac{7}{12}$
(C) $\frac{1}{36}$
(D) $\frac{1}{6}$","maths, question",,,"Aug 26, 2020 12:55 PM",Soutrik das,
"Copy of If the sides of a triangle are 5,6 and 7 units, then the ex-radii of the tringle are in AP ,GP,HP,nota?","maths, question",,,"Aug 26, 2020 12:55 PM",Soutrik das,
"Copy of The sum of all real values of $k$ for which$\tan \left(\tan ^{-1} 2+\tan ^{-1} 20 k\right)=k$, is","maths, question",,,"Aug 26, 2020 12:55 PM",Soutrik das,
Copy of $\int_{0}^{\pi / 2} \cos \left(\pi \sin ^{2} x\right) d x=$,"maths, question",,,"Aug 26, 2020 12:55 PM",Soutrik das,
"Copy of The greatest term in the expansion of $(1+x)^{10}$
when $x=\frac{2}{3}$ is","maths, question",,,"Aug 26, 2020 12:55 PM",Soutrik das,
"Copy of If $a^{2}+b^{2}+c^{2}=1$ then $a b+b c+c a$ lies in the interval $(a, b, c \in R)$","maths, question",,,"Aug 26, 2020 12:55 PM",Soutrik das,
Copy of What can you understand from this quadratic graph ?,"maths, question",,,"Aug 26, 2020 12:54 PM",Soutrik das,
"Copy of A flask contains a mixture of isohexane and 3 -methylpentane. One of the liquids boils at 63°C while the other boils at 60°C. What is the best way to seperate the two liquids and which one will be distilled out first? ","chemistry, question",,,"Aug 26, 2020 12:54 PM",Soutrik das,
Copy of The magnitude of work done by a gas that undergoes  reversible reaction along path ABC shown in the figure is ___,"chemistry, question",,,"Aug 26, 2020 12:54 PM",Soutrik das,
"Copy of Ferrous Sulphate Heptahydrate such that Iron has 10 ppm in 100kg of wheat ","chemistry, question",,,"Aug 26, 2020 12:54 PM",Soutrik das,
Copy of What happens when you heat Gypsum,"chemistry, question",,,"Aug 26, 2020 12:54 PM",Soutrik das,
"Copy of A circle of area 20 sq. units is centered at point O , suppose $\triangle$ABC is inscribed in that circle and has area 8 sq. units. The central angles are $\alpha$, $\beta$, and  $\gamma$ are as shown in the figure . The value of $(\sin \alpha + \sin \beta + \sin \gamma)$ is equal to ?","maths, question",,,"Aug 26, 2020 12:54 PM",Soutrik das,
Copy of $2\int_0^1 \frac{\tan ^{-1} x}{x} dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of $2\int_0^\frac1{\sqrt 2} \frac{\sin^{-1} x}x dx- \int_0^1 \frac{\tan^{-1} x}x dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of $\int \sec^3{x}dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
"Copy of $\int \sin{x} \sec{ x}\tan{x}   \ dx$ ","maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of $\int \sin^3x \cdot \cos^2x \ dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of $\int \frac{1}{x^2 \sqrt{x^2+1}}$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of $\int \cot^5 x \quad dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of $\int \frac{3}{x^2+4x+29} \quad dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of $\int \left( x+\frac1x  \right)^2 dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of $\int x \sin^2 x \quad dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of $\int \frac{1}{x^3+1} dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of $\int \cos^2 (2x) \quad dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of $\int \frac{2\sin x}{\sin (2x)} \quad dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of $\int \frac{x \sin^{-1}x}{\sqrt{1-x^2}}$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of $\int \frac{\sin x}{\sec ^{2019} x} dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of $\int \frac1{x+\sqrt x} \ dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of $\int \frac1{\sqrt{e^x}} \ dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of $\frac{e^x \sqrt{e^x-1} }{e^x+3}$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of $\int \frac{\cos x}{\sin^2 x-5\sin x -6} \ dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of $\int \cosec^3 x \sec x \ dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of (Q4) $\int( x+e^x)^2 \ dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of (Q3) $\int \frac{x^2+1}{x^4-x^2+1} \ dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of (Q2) $\int\frac{\cos{2x}}{\sin x+\cos x}\cdot dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of (Q1.) $\int \tan ^5x \ \sec^3 x \  dx$,"maths, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"Aug 26, 2020 12:53 PM",Soutrik das,
"Copy of $f:R \to R$ , $f(x)=x+\sin x$ then value of $\int^{2\pi}_0{f^{-1}(x)dx}$","maths, question",,,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of Formulae of Integrations,maths,,,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of All Possible Selections,maths,,,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of Circular Permutations,maths,,,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of Properties of $^nC_r$,maths,,,"Aug 26, 2020 12:53 PM",Soutrik das,
Copy of Exponent of Prime in Factorial,maths,,,"Aug 26, 2020 12:53 PM",Soutrik das,
"Copy of Gamma Function ",maths,,,"Aug 26, 2020 12:53 PM",Soutrik das,
